geography,variable,concept,year,estimate
Region,Bus,Transit Revenue-Miles,2014,20249532
Region,Bus,Transit Revenue-Miles,2015,19945900
Region,Bus,Transit Revenue-Miles,2016,20868575
Region,Bus,Transit Revenue-Miles,2017,21143273
Region,Bus,Transit Revenue-Miles,2018,21673694
Region,Bus,Transit Revenue-Miles,2019,23872112
Region,Bus,Transit Revenue-Miles,2020,20532593
Region,Bus,Transit Revenue-Miles,2021,20015368
Region,Bus,Transit Revenue-Miles,2022,19474210
Region,Bus,Transit Revenue-Miles,2023,18625436
Region,Commuter Rail,Transit Boardings,2002,205517
Region,Commuter Rail,Transit Boardings,2003,238310
Region,Commuter Rail,Transit Boardings,2004,287103
Region,Commuter Rail,Transit Boardings,2005,335118
Region,Commuter Rail,Transit Boardings,2006,501187
Region,Commuter Rail,Transit Boardings,2007,629926
Region,Commuter Rail,Transit Boardings,2008,819056
Region,Commuter Rail,Transit Boardings,2009,826594
Region,Commuter Rail,Transit Boardings,2010,791568
Region,Commuter Rail,Transit Boardings,2011,775013
Region,Commuter Rail,Transit Boardings,2012,865953
Region,Commuter Rail,Transit Boardings,2013,940435
Region,Commuter Rail,Transit Boardings,2014,1043337
Region,Commuter Rail,Transit Boardings,2015,1227375
Region,Commuter Rail,Transit Boardings,2016,1411464
Region,Commuter Rail,Transit Boardings,2017,1416598
Region,Commuter Rail,Transit Boardings,2018,1536589
Region,Commuter Rail,Transit Boardings,2019,1520173
Region,Commuter Rail,Transit Boardings,2020,939291
Region,Commuter Rail,Transit Boardings,2021,189927
Region,Commuter Rail,Transit Boardings,2022,333739
Region,Commuter Rail,Transit Boardings,2023,538196
Region,Commuter Rail,Transit Revenue-Hours,2002,2214
Region,Commuter Rail,Transit Revenue-Hours,2003,3088
Region,Commuter Rail,Transit Revenue-Hours,2004,3913
Region,Commuter Rail,Transit Revenue-Hours,2005,4014
Region,Commuter Rail,Transit Revenue-Hours,2006,5041
Region,Commuter Rail,Transit Revenue-Hours,2007,5604
Region,Commuter Rail,Transit Revenue-Hours,2008,8095
Region,Commuter Rail,Transit Revenue-Hours,2009,10708
Region,Commuter Rail,Transit Revenue-Hours,2010,12504
Region,Commuter Rail,Transit Revenue-Hours,2011,12627
Region,Commuter Rail,Transit Revenue-Hours,2012,12472
Region,Commuter Rail,Transit Revenue-Hours,2013,14494
Region,Commuter Rail,Transit Revenue-Hours,2014,16444
Region,Commuter Rail,Transit Revenue-Hours,2015,19293
Region,Commuter Rail,Transit Revenue-Hours,2016,19277
Region,Commuter Rail,Transit Revenue-Hours,2017,19568
Region,Commuter Rail,Transit Revenue-Hours,2018,25105
Region,Commuter Rail,Transit Revenue-Hours,2019,25207
Region,Commuter Rail,Transit Revenue-Hours,2020,21730
Region,Commuter Rail,Transit Revenue-Hours,2021,16706
Region,Commuter Rail,Transit Revenue-Hours,2022,19216
Region,Commuter Rail,Transit Revenue-Hours,2023,17317
Region,Commuter Rail,Transit Revenue-Miles,2002,87010
Region,Commuter Rail,Transit Revenue-Miles,2003,121356
Region,Commuter Rail,Transit Revenue-Miles,2004,144733
Region,Commuter Rail,Transit Revenue-Miles,2005,150625
Region,Commuter Rail,Transit Revenue-Miles,2006,194121
Region,Commuter Rail,Transit Revenue-Miles,2007,215646
Region,Commuter Rail,Transit Revenue-Miles,2008,311329
Region,Commuter Rail,Transit Revenue-Miles,2009,418956
Region,Commuter Rail,Transit Revenue-Miles,2010,489701
Region,Commuter Rail,Transit Revenue-Miles,2011,490808
Region,Commuter Rail,Transit Revenue-Miles,2012,479172
Region,Commuter Rail,Transit Revenue-Miles,2013,533265
Region,Commuter Rail,Transit Revenue-Miles,2014,525040
Region,Commuter Rail,Transit Revenue-Miles,2015,587056
Region,Commuter Rail,Transit Revenue-Miles,2016,584436
Region,Commuter Rail,Transit Revenue-Miles,2017,583616
Region,Commuter Rail,Transit Revenue-Miles,2018,741438
Region,Commuter Rail,Transit Revenue-Miles,2019,745192
Region,Commuter Rail,Transit Revenue-Miles,2020,644855
Region,Commuter Rail,Transit Revenue-Miles,2021,513321
Region,Commuter Rail,Transit Revenue-Miles,2022,602676
Region,Commuter Rail,Transit Revenue-Miles,2023,530086
Region,Ferry,Transit Boardings,2002,7595008
Region,Ferry,Transit Boardings,2003,7145709
Region,Ferry,Transit Boardings,2004,7252474
Region,Ferry,Transit Boardings,2005,7111827
Region,Ferry,Transit Boardings,2006,7073575
Region,Ferry,Transit Boardings,2007,6867552
Region,Ferry,Transit Boardings,2008,6853371
Region,Ferry,Transit Boardings,2009,6825517
Region,Ferry,Transit Boardings,2010,6725814
Region,Ferry,Transit Boardings,2011,6604304
Region,Ferry,Transit Boardings,2012,6563416
Region,Ferry,Transit Boardings,2013,6659083
Region,Ferry,Transit Boardings,2014,6805683
Region,Ferry,Transit Boardings,2015,7110067
Region,Ferry,Transit Boardings,2016,7349004
Region,Ferry,Transit Boardings,2017,7221332
Region,Ferry,Transit Boardings,2018,7411417
Region,Ferry,Transit Boardings,2019,7234060
Region,Ferry,Transit Boardings,2020,4923825
Region,Ferry,Transit Boardings,2021,4751912
Region,Ferry,Transit Boardings,2022,4964683
Region,Ferry,Transit Boardings,2023,5636694
Region,Ferry,Transit Revenue-Hours,2002,44208
Region,Ferry,Transit Revenue-Hours,2003,45583
Region,Ferry,Transit Revenue-Hours,2004,43230
Region,Ferry,Transit Revenue-Hours,2005,43091
Region,Ferry,Transit Revenue-Hours,2006,42624
Region,Ferry,Transit Revenue-Hours,2007,42698
Region,Ferry,Transit Revenue-Hours,2008,42397
Region,Ferry,Transit Revenue-Hours,2009,42125
Region,Ferry,Transit Revenue-Hours,2010,43134
Region,Ferry,Transit Revenue-Hours,2011,43336
Region,Ferry,Transit Revenue-Hours,2012,43868
Region,Ferry,Transit Revenue-Hours,2013,43546
Region,Ferry,Transit Revenue-Hours,2014,43426
Region,Ferry,Transit Revenue-Hours,2015,43487
Region,Ferry,Transit Revenue-Hours,2016,43690
Region,Ferry,Transit Revenue-Hours,2017,43424
Region,Ferry,Transit Revenue-Hours,2018,44282
Region,Ferry,Transit Revenue-Hours,2019,46193
Region,Ferry,Transit Revenue-Hours,2020,42982
Region,Ferry,Transit Revenue-Hours,2021,41913
Region,Ferry,Transit Revenue-Hours,2022,38868
Region,Ferry,Transit Revenue-Hours,2023,42280
Region,Ferry,Transit Revenue-Miles,2002,344352
Region,Ferry,Transit Revenue-Miles,2003,354205
Region,Ferry,Transit Revenue-Miles,2004,313747
Region,Ferry,Transit Revenue-Miles,2005,316259
Region,Ferry,Transit Revenue-Miles,2006,306716
Region,Ferry,Transit Revenue-Miles,2007,305620
Region,Ferry,Transit Revenue-Miles,2008,301120
Region,Ferry,Transit Revenue-Miles,2009,300671
Region,Ferry,Transit Revenue-Miles,2010,311020
Region,Ferry,Transit Revenue-Miles,2011,316856
Region,Ferry,Transit Revenue-Miles,2012,318835
Region,Ferry,Transit Revenue-Miles,2013,316098
Region,Ferry,Transit Revenue-Miles,2014,315012
Region,Ferry,Transit Revenue-Miles,2015,316334
Region,Ferry,Transit Revenue-Miles,2016,317440
Region,Ferry,Transit Revenue-Miles,2017,316609
Region,Ferry,Transit Revenue-Miles,2018,334586
Region,Ferry,Transit Revenue-Miles,2019,355881
Region,Ferry,Transit Revenue-Miles,2020,337096
Region,Ferry,Transit Revenue-Miles,2021,345723
Region,Ferry,Transit Revenue-Miles,2022,322710
Region,Ferry,Transit Revenue-Miles,2023,350514
Region,"Light Rail, Streetcar & Monorail",Transit Boardings,2002,484275
Region,"Light Rail, Streetcar & Monorail",Transit Boardings,2003,561813
Region,"Light Rail, Streetcar & Monorail",Transit Boardings,2004,833321
Region,"Light Rail, Streetcar & Monorail",Transit Boardings,2005,702848
Region,"Light Rail, Streetcar & Monorail",Transit Boardings,2006,297685
Region,"Light Rail, Streetcar & Monorail",Transit Boardings,2007,608381
Region,"Light Rail, Streetcar & Monorail",Transit Boardings,2008,760308
Region,"Light Rail, Streetcar & Monorail",Transit Boardings,2009,773281
Region,"Light Rail, Streetcar & Monorail",Transit Boardings,2010,2738891
Region,"Light Rail, Streetcar & Monorail",Transit Boardings,2011,3136601
Region,"Light Rail, Streetcar & Monorail",Transit Boardings,2012,3454191
Region,"Light Rail, Streetcar & Monorail",Transit Boardings,2013,3807659
Region,"Light Rail, Streetcar & Monorail",Transit Boardings,2014,4209656
Region,"Light Rail, Streetcar & Monorail",Transit Boardings,2015,4407438
Region,"Light Rail, Streetcar & Monorail",Transit Boardings,2016,5827284
Region,"Light Rail, Streetcar & Monorail",Transit Boardings,2017,8230403
Region,"Light Rail, Streetcar & Monorail",Transit Boardings,2018,8598278
Region,"Light Rail, Streetcar & Monorail",Transit Boardings,2019,9889837
Region,"Light Rail, Streetcar & Monorail",Transit Boardings,2020,5568130
Region,"Light Rail, Streetcar & Monorail",Transit Boardings,2021,2283432
Region,"Light Rail, Streetcar & Monorail",Transit Boardings,2022,7328302
Region,"Light Rail, Streetcar & Monorail",Transit Boardings,2023,9518272
Region,"Light Rail, Streetcar & Monorail",Transit Revenue-Hours,2002,8566
Region,"Light Rail, Streetcar & Monorail",Transit Revenue-Hours,2003,10886
Region,"Light Rail, Streetcar & Monorail",Transit Revenue-Hours,2004,13710
Region,"Light Rail, Streetcar & Monorail",Transit Revenue-Hours,2005,10512
Region,"Light Rail, Streetcar & Monorail",Transit Revenue-Hours,2006,3315
Region,"Light Rail, Streetcar & Monorail",Transit Revenue-Hours,2007,7853
Region,"Light Rail, Streetcar & Monorail",Transit Revenue-Hours,2008,13357
Region,"Light Rail, Streetcar & Monorail",Transit Revenue-Hours,2009,12953
Region,"Light Rail, Streetcar & Monorail",Transit Revenue-Hours,2010,59856
Region,"Light Rail, Streetcar & Monorail",Transit Revenue-Hours,2011,52599
Region,"Light Rail, Streetcar & Monorail",Transit Revenue-Hours,2012,56045
Region,"Light Rail, Streetcar & Monorail",Transit Revenue-Hours,2013,58406
Region,"Light Rail, Streetcar & Monorail",Transit Revenue-Hours,2014,61236
Region,"Light Rail, Streetcar & Monorail",Transit Revenue-Hours,2015,60765
Region,"Light Rail, Streetcar & Monorail",Transit Revenue-Hours,2016,77814
Region,"Light Rail, Streetcar & Monorail",Transit Revenue-Hours,2017,99006
Region,"Light Rail, Streetcar & Monorail",Transit Revenue-Hours,2018,110524
Region,"Light Rail, Streetcar & Monorail",Transit Revenue-Hours,2019,110212
Region,"Light Rail, Streetcar & Monorail",Transit Revenue-Hours,2020,102893
Region,"Light Rail, Streetcar & Monorail",Transit Revenue-Hours,2021,87913
Region,"Light Rail, Streetcar & Monorail",Transit Revenue-Hours,2022,154045
Region,"Light Rail, Streetcar & Monorail",Transit Revenue-Hours,2023,160605
Region,"Light Rail, Streetcar & Monorail",Transit Revenue-Miles,2002,70449
Region,"Light Rail, Streetcar & Monorail",Transit Revenue-Miles,2003,91204
Region,"Light Rail, Streetcar & Monorail",Transit Revenue-Miles,2004,123433
Region,"Light Rail, Streetcar & Monorail",Transit Revenue-Miles,2005,89730
Region,"Light Rail, Streetcar & Monorail",Transit Revenue-Miles,2006,31924
Region,"Light Rail, Streetcar & Monorail",Transit Revenue-Miles,2007,73879
Region,"Light Rail, Streetcar & Monorail",Transit Revenue-Miles,2008,112738
Region,"Light Rail, Streetcar & Monorail",Transit Revenue-Miles,2009,110065
Region,"Light Rail, Streetcar & Monorail",Transit Revenue-Miles,2010,992485
Region,"Light Rail, Streetcar & Monorail",Transit Revenue-Miles,2011,859006
Region,"Light Rail, Streetcar & Monorail",Transit Revenue-Miles,2012,911865
Region,"Light Rail, Streetcar & Monorail",Transit Revenue-Miles,2013,985403
Region,"Light Rail, Streetcar & Monorail",Transit Revenue-Miles,2014,1004168
Region,"Light Rail, Streetcar & Monorail",Transit Revenue-Miles,2015,980434
Region,"Light Rail, Streetcar & Monorail",Transit Revenue-Miles,2016,1265263
Region,"Light Rail, Streetcar & Monorail",Transit Revenue-Miles,2017,1725269
Region,"Light Rail, Streetcar & Monorail",Transit Revenue-Miles,2018,1944374
Region,"Light Rail, Streetcar & Monorail",Transit Revenue-Miles,2019,1939838
Region,"Light Rail, Streetcar & Monorail",Transit Revenue-Miles,2020,1605041
Region,"Light Rail, Streetcar & Monorail",Transit Revenue-Miles,2021,1506778
Region,"Light Rail, Streetcar & Monorail",Transit Revenue-Miles,2022,2819854
Region,"Light Rail, Streetcar & Monorail",Transit Revenue-Miles,2023,3014349
Region,Total Transit,Transit Boardings,2002,49621303
Region,Total Transit,Transit Boardings,2003,49384610
Region,Total Transit,Transit Boardings,2004,51526741
Region,Total Transit,Transit Boardings,2005,51548499
Region,Total Transit,Transit Boardings,2006,53761581
Region,Total Transit,Transit Boardings,2007,57501801
Region,Total Transit,Transit Boardings,2008,62426834
Region,Total Transit,Transit Boardings,2009,62085913
Region,Total Transit,Transit Boardings,2010,62092543
Region,Total Transit,Transit Boardings,2011,62440500
Region,Total Transit,Transit Boardings,2012,63478837
Region,Total Transit,Transit Boardings,2013,65415783
Region,Total Transit,Transit Boardings,2014,67292885
Region,Total Transit,Transit Boardings,2015,68592689
Region,Total Transit,Transit Boardings,2016,70761472
Region,Total Transit,Transit Boardings,2017,72067979
Region,Total Transit,Transit Boardings,2018,73285206
Region,Total Transit,Transit Boardings,2019,73427863
Region,Total Transit,Transit Boardings,2020,50559173
Region,Total Transit,Transit Boardings,2021,26075074
Region,Total Transit,Transit Boardings,2022,37751894
Region,Total Transit,Transit Boardings,2023,47301282
Region,Total Transit,Transit Revenue-Hours,2002,1581807
Region,Total Transit,Transit Revenue-Hours,2003,1642366
Region,Total Transit,Transit Revenue-Hours,2004,1685038
Region,Total Transit,Transit Revenue-Hours,2005,1535668
Region,Total Transit,Transit Revenue-Hours,2006,1786687
Region,Total Transit,Transit Revenue-Hours,2007,1818143
Region,Total Transit,Transit Revenue-Hours,2008,1921170
Region,Total Transit,Transit Revenue-Hours,2009,1917556
Region,Total Transit,Transit Revenue-Hours,2010,1961634
Region,Total Transit,Transit Revenue-Hours,2011,1930522
Region,Total Transit,Transit Revenue-Hours,2012,1901163
Region,Total Transit,Transit Revenue-Hours,2013,1899375
Region,Total Transit,Transit Revenue-Hours,2014,1965360
Region,Total Transit,Transit Revenue-Hours,2015,1959428
Region,Total Transit,Transit Revenue-Hours,2016,2109260
Region,Total Transit,Transit Revenue-Hours,2017,2171130
Region,Total Transit,Transit Revenue-Hours,2018,2258554
Region,Total Transit,Transit Revenue-Hours,2019,2275159
Region,Total Transit,Transit Revenue-Hours,2020,2033713
Region,Total Transit,Transit Revenue-Hours,2021,1872429
Region,Total Transit,Transit Revenue-Hours,2022,1903607
Region,Total Transit,Transit Revenue-Hours,2023,1886226
Region,Total Transit,Transit Revenue-Miles,2002,30459411
Region,Total Transit,Transit Revenue-Miles,2003,30820306
Region,Total Transit,Transit Revenue-Miles,2004,30669620
Region,Total Transit,Transit Revenue-Miles,2005,29318371
Region,Total Transit,Transit Revenue-Miles,2006,27294364
Region,Total Transit,Transit Revenue-Miles,2007,28000533
Region,Total Transit,Transit Revenue-Miles,2008,29634681
Region,Total Transit,Transit Revenue-Miles,2009,30129468
Region,Total Transit,Transit Revenue-Miles,2010,31095459
Region,Total Transit,Transit Revenue-Miles,2011,30597755
Region,Total Transit,Transit Revenue-Miles,2012,30439415
Region,Total Transit,Transit Revenue-Miles,2013,30374037
Region,Total Transit,Transit Revenue-Miles,2014,30593147
Region,Total Transit,Transit Revenue-Miles,2015,30247294
Region,Total Transit,Transit Revenue-Miles,2016,31415222
Region,Total Transit,Transit Revenue-Miles,2017,32205474
Region,Total Transit,Transit Revenue-Miles,2018,33216600
Region,Total Transit,Transit Revenue-Miles,2019,34993121
Region,Total Transit,Transit Revenue-Miles,2020,28666767
Region,Total Transit,Transit Revenue-Miles,2021,24900918
Region,Total Transit,Transit Revenue-Miles,2022,26152463
Region,Total Transit,Transit Revenue-Miles,2023,26543783
Region,Vanpool,Transit Boardings,2002,1157930
Region,Vanpool,Transit Boardings,2003,1105249
Region,Vanpool,Transit Boardings,2004,1076436
Region,Vanpool,Transit Boardings,2005,1133731
Region,Vanpool,Transit Boardings,2006,1232811
Region,Vanpool,Transit Boardings,2007,1334735
Region,Vanpool,Transit Boardings,2008,1539054
Region,Vanpool,Transit Boardings,2009,1793698
Region,Vanpool,Transit Boardings,2010,1685758
Region,Vanpool,Transit Boardings,2011,1657359
Region,Vanpool,Transit Boardings,2012,1859365
Region,Vanpool,Transit Boardings,2013,1866469
Region,Vanpool,Transit Boardings,2014,1873886
Region,Vanpool,Transit Boardings,2015,1812902
Region,Vanpool,Transit Boardings,2016,1807231
Region,Vanpool,Transit Boardings,2017,1791808
Region,Vanpool,Transit Boardings,2018,1781961
Region,Vanpool,Transit Boardings,2019,1658444
Region,Vanpool,Transit Boardings,2020,1183243
Region,Vanpool,Transit Boardings,2021,358034
Region,Vanpool,Transit Boardings,2022,434666
Region,Vanpool,Transit Boardings,2023,590947
Region,Vanpool,Transit Revenue-Hours,2002,148074
Region,Vanpool,Transit Revenue-Hours,2003,145512
Region,Vanpool,Transit Revenue-Hours,2004,144277
Region,Vanpool,Transit Revenue-Hours,2005,154035
Region,Vanpool,Transit Revenue-Hours,2006,200353
Region,Vanpool,Transit Revenue-Hours,2007,189320
Region,Vanpool,Transit Revenue-Hours,2008,201423
Region,Vanpool,Transit Revenue-Hours,2009,209890
Region,Vanpool,Transit Revenue-Hours,2010,188213
Region,Vanpool,Transit Revenue-Hours,2011,215301
Region,Vanpool,Transit Revenue-Hours,2012,234532
Region,Vanpool,Transit Revenue-Hours,2013,238727
Region,Vanpool,Transit Revenue-Hours,2014,278489
Region,Vanpool,Transit Revenue-Hours,2015,279777
Region,Vanpool,Transit Revenue-Hours,2016,286641
Region,Vanpool,Transit Revenue-Hours,2017,291859
Region,Vanpool,Transit Revenue-Hours,2018,303555
Region,Vanpool,Transit Revenue-Hours,2019,276601
Region,Vanpool,Transit Revenue-Hours,2020,159934
Region,Vanpool,Transit Revenue-Hours,2021,75430
Region,Vanpool,Transit Revenue-Hours,2022,88792
Region,Vanpool,Transit Revenue-Hours,2023,121931
Region,Vanpool,Transit Revenue-Miles,2002,10986285
Region,Vanpool,Transit Revenue-Miles,2003,10370425
Region,Vanpool,Transit Revenue-Miles,2004,9410127
Region,Vanpool,Transit Revenue-Miles,2005,5788750
Region,Vanpool,Transit Revenue-Miles,2006,6210021
Region,Vanpool,Transit Revenue-Miles,2007,6608918
Region,Vanpool,Transit Revenue-Miles,2008,7215133
Region,Vanpool,Transit Revenue-Miles,2009,7653351
Region,Vanpool,Transit Revenue-Miles,2010,7350192
Region,Vanpool,Transit Revenue-Miles,2011,7437177
Region,Vanpool,Transit Revenue-Miles,2012,8160881
Region,Vanpool,Transit Revenue-Miles,2013,8296111
Region,Vanpool,Transit Revenue-Miles,2014,8499395
Region,Vanpool,Transit Revenue-Miles,2015,8417570
Region,Vanpool,Transit Revenue-Miles,2016,8379508
Region,Vanpool,Transit Revenue-Miles,2017,8436707
Region,Vanpool,Transit Revenue-Miles,2018,8522508
Region,Vanpool,Transit Revenue-Miles,2019,8080098
Region,Vanpool,Transit Revenue-Miles,2020,5547182
Region,Vanpool,Transit Revenue-Miles,2021,2519728
Region,Vanpool,Transit Revenue-Miles,2022,2933013
Region,Vanpool,Transit Revenue-Miles,2023,4023398
Sound Transit,Bus,Transit Boardings,2002,0
Sound Transit,Bus,Transit Boardings,2003,0
Sound Transit,Bus,Transit Boardings,2004,0
Sound Transit,Bus,Transit Boardings,2005,2847073
Sound Transit,Bus,Transit Boardings,2006,3073822
Sound Transit,Bus,Transit Boardings,2007,3319928
Sound Transit,Bus,Transit Boardings,2008,3785681
Sound Transit,Bus,Transit Boardings,2009,4105255
Sound Transit,Bus,Transit Boardings,2010,4039075
Sound Transit,Bus,Transit Boardings,2011,4322592
Sound Transit,Bus,Transit Boardings,2012,5087457
Sound Transit,Bus,Transit Boardings,2013,5321150
Sound Transit,Bus,Transit Boardings,2014,5639564
Sound Transit,Bus,Transit Boardings,2015,6016312
Sound Transit,Bus,Transit Boardings,2016,6023039
Sound Transit,Bus,Transit Boardings,2017,5994304
Sound Transit,Bus,Transit Boardings,2018,5924794
Sound Transit,Bus,Transit Boardings,2019,5725320
Sound Transit,Bus,Transit Boardings,2020,3611910
Sound Transit,Bus,Transit Boardings,2021,1353757
Sound Transit,Bus,Transit Boardings,2022,1932985
Sound Transit,Bus,Transit Boardings,2023,2518334
Sound Transit,Bus,Transit Revenue-Hours,2002,0
Sound Transit,Bus,Transit Revenue-Hours,2003,0
Sound Transit,Bus,Transit Revenue-Hours,2004,0
Sound Transit,Bus,Transit Revenue-Hours,2005,135347
Sound Transit,Bus,Transit Revenue-Hours,2006,153341
Sound Transit,Bus,Transit Revenue-Hours,2007,159218
Sound Transit,Bus,Transit Revenue-Hours,2008,164116
Sound Transit,Bus,Transit Revenue-Hours,2009,170600
Sound Transit,Bus,Transit Revenue-Hours,2010,180271
Sound Transit,Bus,Transit Revenue-Hours,2011,186713
Sound Transit,Bus,Transit Revenue-Hours,2012,180103
Sound Transit,Bus,Transit Revenue-Hours,2013,182317
Sound Transit,Bus,Transit Revenue-Hours,2014,188855
Sound Transit,Bus,Transit Revenue-Hours,2015,191449
Sound Transit,Bus,Transit Revenue-Hours,2016,197425
Sound Transit,Bus,Transit Revenue-Hours,2017,204591
Sound Transit,Bus,Transit Revenue-Hours,2018,209657
Sound Transit,Bus,Transit Revenue-Hours,2019,212473
Sound Transit,Bus,Transit Revenue-Hours,2020,198579
Sound Transit,Bus,Transit Revenue-Hours,2021,181974
Sound Transit,Bus,Transit Revenue-Hours,2022,173799
Sound Transit,Bus,Transit Revenue-Hours,2023,163346
Sound Transit,Bus,Transit Revenue-Miles,2002,0
Sound Transit,Bus,Transit Revenue-Miles,2003,0
Sound Transit,Bus,Transit Revenue-Miles,2004,0
Sound Transit,Bus,Transit Revenue-Miles,2005,3248311
Sound Transit,Bus,Transit Revenue-Miles,2006,3157745
Sound Transit,Bus,Transit Revenue-Miles,2007,3250415
Sound Transit,Bus,Transit Revenue-Miles,2008,3363499
Sound Transit,Bus,Transit Revenue-Miles,2009,3472772
Sound Transit,Bus,Transit Revenue-Miles,2010,3731024
Sound Transit,Bus,Transit Revenue-Miles,2011,3873781
Sound Transit,Bus,Transit Revenue-Miles,2012,3792844
Sound Transit,Bus,Transit Revenue-Miles,2013,3855601
Sound Transit,Bus,Transit Revenue-Miles,2014,3862941
Sound Transit,Bus,Transit Revenue-Miles,2015,3861956
Sound Transit,Bus,Transit Revenue-Miles,2016,3897071
Sound Transit,Bus,Transit Revenue-Miles,2017,3966852
Sound Transit,Bus,Transit Revenue-Miles,2018,3965470
Sound Transit,Bus,Transit Revenue-Miles,2019,3936197
Sound Transit,Bus,Transit Revenue-Miles,2020,3770194
Sound Transit,Bus,Transit Revenue-Miles,2021,3449764
Sound Transit,Bus,Transit Revenue-Miles,2022,3332765
Sound Transit,Bus,Transit Revenue-Miles,2023,3242426
Sound Transit,Commuter Rail,Transit Boardings,2002,205517
Sound Transit,Commuter Rail,Transit Boardings,2003,238310
Sound Transit,Commuter Rail,Transit Boardings,2004,287103
Sound Transit,Commuter Rail,Transit Boardings,2005,335118
Sound Transit,Commuter Rail,Transit Boardings,2006,501187
Sound Transit,Commuter Rail,Transit Boardings,2007,629926
Sound Transit,Commuter Rail,Transit Boardings,2008,819056
Sound Transit,Commuter Rail,Transit Boardings,2009,826594
Sound Transit,Commuter Rail,Transit Boardings,2010,791568
Sound Transit,Commuter Rail,Transit Boardings,2011,775013
Sound Transit,Commuter Rail,Transit Boardings,2012,865953
Sound Transit,Commuter Rail,Transit Boardings,2013,940435
Sound Transit,Commuter Rail,Transit Boardings,2014,1043337
Sound Transit,Commuter Rail,Transit Boardings,2015,1227375
Sound Transit,Commuter Rail,Transit Boardings,2016,1411464
Sound Transit,Commuter Rail,Transit Boardings,2017,1416598
Sound Transit,Commuter Rail,Transit Boardings,2018,1536589
Sound Transit,Commuter Rail,Transit Boardings,2019,1520173
Sound Transit,Commuter Rail,Transit Boardings,2020,939291
Sound Transit,Commuter Rail,Transit Boardings,2021,189927
Sound Transit,Commuter Rail,Transit Boardings,2022,333739
Sound Transit,Commuter Rail,Transit Boardings,2023,538196
Sound Transit,Commuter Rail,Transit Revenue-Hours,2002,2214
Sound Transit,Commuter Rail,Transit Revenue-Hours,2003,3088
Sound Transit,Commuter Rail,Transit Revenue-Hours,2004,3913
Sound Transit,Commuter Rail,Transit Revenue-Hours,2005,4014
Sound Transit,Commuter Rail,Transit Revenue-Hours,2006,5041
Sound Transit,Commuter Rail,Transit Revenue-Hours,2007,5604
Sound Transit,Commuter Rail,Transit Revenue-Hours,2008,8095
Sound Transit,Commuter Rail,Transit Revenue-Hours,2009,10708
Sound Transit,Commuter Rail,Transit Revenue-Hours,2010,12504
Sound Transit,Commuter Rail,Transit Revenue-Hours,2011,12627
Sound Transit,Commuter Rail,Transit Revenue-Hours,2012,12472
Sound Transit,Commuter Rail,Transit Revenue-Hours,2013,14494
Sound Transit,Commuter Rail,Transit Revenue-Hours,2014,16444
Sound Transit,Commuter Rail,Transit Revenue-Hours,2015,19293
Sound Transit,Commuter Rail,Transit Revenue-Hours,2016,19277
Sound Transit,Commuter Rail,Transit Revenue-Hours,2017,19568
Sound Transit,Commuter Rail,Transit Revenue-Hours,2018,25105
Sound Transit,Commuter Rail,Transit Revenue-Hours,2019,25207
Sound Transit,Commuter Rail,Transit Revenue-Hours,2020,21730
Sound Transit,Commuter Rail,Transit Revenue-Hours,2021,16706
Sound Transit,Commuter Rail,Transit Revenue-Hours,2022,19216
Sound Transit,Commuter Rail,Transit Revenue-Hours,2023,17317
Sound Transit,Commuter Rail,Transit Revenue-Miles,2002,87010
Sound Transit,Commuter Rail,Transit Revenue-Miles,2003,121356
Sound Transit,Commuter Rail,Transit Revenue-Miles,2004,144733
Sound Transit,Commuter Rail,Transit Revenue-Miles,2005,150625
Sound Transit,Commuter Rail,Transit Revenue-Miles,2006,194121
Sound Transit,Commuter Rail,Transit Revenue-Miles,2007,215646
Sound Transit,Commuter Rail,Transit Revenue-Miles,2008,311329
Sound Transit,Commuter Rail,Transit Revenue-Miles,2009,418956
Sound Transit,Commuter Rail,Transit Revenue-Miles,2010,489701
Sound Transit,Commuter Rail,Transit Revenue-Miles,2011,490808
Sound Transit,Commuter Rail,Transit Revenue-Miles,2012,479172
Sound Transit,Commuter Rail,Transit Revenue-Miles,2013,533265
Sound Transit,Commuter Rail,Transit Revenue-Miles,2014,525040
Sound Transit,Commuter Rail,Transit Revenue-Miles,2015,587056
Sound Transit,Commuter Rail,Transit Revenue-Miles,2016,584436
Sound Transit,Commuter Rail,Transit Revenue-Miles,2017,583616
Sound Transit,Commuter Rail,Transit Revenue-Miles,2018,741438
Sound Transit,Commuter Rail,Transit Revenue-Miles,2019,745192
Sound Transit,Commuter Rail,Transit Revenue-Miles,2020,644855
Sound Transit,Commuter Rail,Transit Revenue-Miles,2021,513321
Sound Transit,Commuter Rail,Transit Revenue-Miles,2022,602676
Sound Transit,Commuter Rail,Transit Revenue-Miles,2023,530086
Sound Transit,"Light Rail, Streetcar & Monorail",Transit Boardings,2002,0
Sound Transit,"Light Rail, Streetcar & Monorail",Transit Boardings,2003,0
Sound Transit,"Light Rail, Streetcar & Monorail",Transit Boardings,2004,247134
Sound Transit,"Light Rail, Streetcar & Monorail",Transit Boardings,2005,292425
Sound Transit,"Light Rail, Streetcar & Monorail",Transit Boardings,2006,297685
Sound Transit,"Light Rail, Streetcar & Monorail",Transit Boardings,2007,296194
Sound Transit,"Light Rail, Streetcar & Monorail",Transit Boardings,2008,299231
