year,variable,metric,estimate,share
2020,LEXUS,Hybrid Electric Vehicle,486,0.06669411280362289
2020,LINCOLN,Hybrid Electric Vehicle,1,1.3723068478111705e-4
2020,MERCEDES-BENZ,Battery Electric Vehicle,13,0.0013713080168776372
2020,MINI,Battery Electric Vehicle,82,0.008649789029535865
2020,MITSUBISHI,Battery Electric Vehicle,39,0.004113924050632912
2020,NISSAN,Battery Electric Vehicle,759,0.0800632911392405
2020,NISSAN,Hybrid Electric Vehicle,10,0.0013723068478111707
2020,PIAGGIO AND VESPA,Battery Electric Vehicle,6,6.329113924050633e-4
2020,POLARIS,Battery Electric Vehicle,4,4.219409282700422e-4
2020,POLESTAR,Battery Electric Vehicle,3,3.1645569620253165e-4
2020,PORSCHE,Battery Electric Vehicle,53,0.005590717299578059
2020,PORSCHE,Hybrid Electric Vehicle,14,0.0019212295869356388
2020,SMART,Battery Electric Vehicle,16,0.0016877637130801688
2020,SUBARU,Battery Electric Vehicle,1,1.0548523206751055e-4
2020,SUNCOR,Battery Electric Vehicle,1,1.0548523206751055e-4
2020,TESLA,Battery Electric Vehicle,6779,0.715084388185654
2020,TOYOTA,Battery Electric Vehicle,4,4.219409282700422e-4
2020,TOYOTA,Hybrid Electric Vehicle,5770,0.7918210511870454
2020,TRIDENT MOTOR,Battery Electric Vehicle,1,1.0548523206751055e-4
2020,UBCO,Battery Electric Vehicle,5,5.274261603375527e-4
2020,VANDERHALL MOTOR WORKS,Battery Electric Vehicle,1,1.0548523206751055e-4
2020,VOLKSWAGEN,Battery Electric Vehicle,182,0.01919831223628692
2020,VOLKSWAGEN,Hybrid Electric Vehicle,1,1.3723068478111705e-4
2020,VOLVO,Hybrid Electric Vehicle,204,0.02799505969534788
2020,Z ELECTRIC VEHICLE CORPORATION,Battery Electric Vehicle,1,1.0548523206751055e-4
2020,ZERO MOTORCYCLES,Battery Electric Vehicle,23,0.002426160337552743
2021,ACURA,Hybrid Electric Vehicle,3,1.9937529075563236e-4
2021,AUDI,Battery Electric Vehicle,284,0.015091933255393772
2021,BMW,Battery Electric Vehicle,82,0.004357530024444681
2021,BMW,Hybrid Electric Vehicle,73,0.004851465408387054
2021,CADILLAC,Hybrid Electric Vehicle,2,1.329168605037549e-4
2021,CHEV,Battery Electric Vehicle,1,5.3140610054203425e-5
2021,CHEVROLET,Battery Electric Vehicle,808,0.042937612923796366
2021,CHEVROLET,Hybrid Electric Vehicle,28,0.0018608360470525687
