date,variable,geography,estimate,share
2019-02-01,Hybrid Electric Vehicle,King,105,0.009538517441860465
2019-02-01,Hybrid Electric Vehicle,Kitsap,9,0.00819672131147541
2019-02-01,Hybrid Electric Vehicle,Pierce,25,0.007020499859590003
2019-02-01,Hybrid Electric Vehicle,Snohomish,26,0.008544199802826159
2019-02-01,Internal Combustion Engine,King,10503,0.954124273255814
2019-02-01,Internal Combustion Engine,Kitsap,1082,0.9854280510018215
2019-02-01,Internal Combustion Engine,Pierce,3502,0.9834316203313676
2019-02-01,Internal Combustion Engine,Snohomish,2930,0.9628655931646402
2020-02-01,Battery Electric Vehicle,King,319,0.026876737720111215
2020-02-01,Battery Electric Vehicle,Kitsap,17,0.013147718484145398
2020-02-01,Battery Electric Vehicle,Pierce,38,0.009261515963928832
2020-02-01,Battery Electric Vehicle,Snohomish,58,0.01733931240657698
2020-02-01,Hybrid Electric Vehicle,King,362,0.030499620861066643
2020-02-01,Hybrid Electric Vehicle,Kitsap,24,0.018561484918793503
2020-02-01,Hybrid Electric Vehicle,Pierce,77,0.01876675603217158
2020-02-01,Hybrid Electric Vehicle,Snohomish,94,0.028101644245142002
2020-02-01,Internal Combustion Engine,King,11188,0.9426236414188222
2020-02-01,Internal Combustion Engine,Kitsap,1252,0.9682907965970611
2020-02-01,Internal Combustion Engine,Pierce,3988,0.9719717280038996
2020-02-01,Internal Combustion Engine,Snohomish,3193,0.954559043348281
2021-02-01,Battery Electric Vehicle,King,805,0.08055638947263084
2021-02-01,Battery Electric Vehicle,Kitsap,36,0.0288
2021-02-01,Battery Electric Vehicle,Pierce,93,0.02210601378654623
2021-02-01,Battery Electric Vehicle,Snohomish,151,0.0451555023923445
2021-02-01,Hybrid Electric Vehicle,King,547,0.05473831682177524
2021-02-01,Hybrid Electric Vehicle,Kitsap,44,0.0352
2021-02-01,Hybrid Electric Vehicle,Pierce,152,0.03613025909198954
2021-02-01,Hybrid Electric Vehicle,Snohomish,129,0.038576555023923445
2021-02-01,Internal Combustion Engine,King,8641,0.8647052937055939
