variable,estimate,year,month,data_day,equiv_day,geography,concept
Total Air Freight - IN,15978,2021,02,2021-02-01,2023-02-01,Seattle-Tacoma International Airport,Airport Operations
Total Air Freight - OUT,16528,2021,02,2021-02-01,2023-02-01,Seattle-Tacoma International Airport,Airport Operations
Air Freight Grand Total,32506,2021,02,2021-02-01,2023-02-01,Seattle-Tacoma International Airport,Airport Operations
Domestic Air Mail - IN,0,2021,02,2021-02-01,2023-02-01,Seattle-Tacoma International Airport,Airport Operations
Domestic Air Mail - OUT,0,2021,02,2021-02-01,2023-02-01,Seattle-Tacoma International Airport,Airport Operations
Subtotal - Domestic Air Mail,0,2021,02,2021-02-01,2023-02-01,Seattle-Tacoma International Airport,Airport Operations
International Air Mail - IN,0,2021,02,2021-02-01,2023-02-01,Seattle-Tacoma International Airport,Airport Operations
International Air Mail - OUT,0,2021,02,2021-02-01,2023-02-01,Seattle-Tacoma International Airport,Airport Operations
Subtotal - International Air Mail,0,2021,02,2021-02-01,2023-02-01,Seattle-Tacoma International Airport,Airport Operations
Total Air Mail - IN,0,2021,02,2021-02-01,2023-02-01,Seattle-Tacoma International Airport,Airport Operations
Total Air Mail - OUT,0,2021,02,2021-02-01,2023-02-01,Seattle-Tacoma International Airport,Airport Operations
Air Mail Grand Total,0,2021,02,2021-02-01,2023-02-01,Seattle-Tacoma International Airport,Airport Operations
Total Cargo - IN,15978,2021,02,2021-02-01,2023-02-01,Seattle-Tacoma International Airport,Airport Operations
Total Cargo - OUT,16528,2021,02,2021-02-01,2023-02-01,Seattle-Tacoma International Airport,Airport Operations
CARGO GRAND TOTAL,32506,2021,02,2021-02-01,2023-02-01,Seattle-Tacoma International Airport,Airport Operations
Air Carrier,22543,2021,02,2021-02-01,2023-02-01,Seattle-Tacoma International Airport,Airport Operations
Air Taxi,269,2021,02,2021-02-01,2023-02-01,Seattle-Tacoma International Airport,Airport Operations
General Aviation,69,2021,02,2021-02-01,2023-02-01,Seattle-Tacoma International Airport,Airport Operations
Military,1,2021,02,2021-02-01,2023-02-01,Seattle-Tacoma International Airport,Airport Operations
OPERATIONS GRAND TOTAL,22882,2021,02,2021-02-01,2023-02-01,Seattle-Tacoma International Airport,Airport Operations
Domestic Passengers - IN,1044128,2021,03,2021-03-01,2023-03-01,Seattle-Tacoma International Airport,Airport Operations
Domestic Passengers - OUT,1041744,2021,03,2021-03-01,2023-03-01,Seattle-Tacoma International Airport,Airport Operations
Subtotal - Domestic Passengers,2085872,2021,03,2021-03-01,2023-03-01,Seattle-Tacoma International Airport,Airport Operations
International Passengers - IN,39726,2021,03,2021-03-01,2023-03-01,Seattle-Tacoma International Airport,Airport Operations
International Passengers - OUT,40961,2021,03,2021-03-01,2023-03-01,Seattle-Tacoma International Airport,Airport Operations
Subtotal - International Passengers,80687,2021,03,2021-03-01,2023-03-01,Seattle-Tacoma International Airport,Airport Operations
Total Passengers - IN,1083854,2021,03,2021-03-01,2023-03-01,Seattle-Tacoma International Airport,Airport Operations
Total Passengers - OUT,1082705,2021,03,2021-03-01,2023-03-01,Seattle-Tacoma International Airport,Airport Operations
PASSENGER GRAND TOTAL,2166559,2021,03,2021-03-01,2023-03-01,Seattle-Tacoma International Airport,Airport Operations
Domestic Air Freight - IN,16116,2021,03,2021-03-01,2023-03-01,Seattle-Tacoma International Airport,Airport Operations
Domestic Air Freight - OUT,14173,2021,03,2021-03-01,2023-03-01,Seattle-Tacoma International Airport,Airport Operations
Subtotal - Domestic Air Freight,30289,2021,03,2021-03-01,2023-03-01,Seattle-Tacoma International Airport,Airport Operations
International Air Freight - IN,4315,2021,03,2021-03-01,2023-03-01,Seattle-Tacoma International Airport,Airport Operations
International Air Freight - OUT,5526,2021,03,2021-03-01,2023-03-01,Seattle-Tacoma International Airport,Airport Operations
Subtotal - International Air Freight,9841,2021,03,2021-03-01,2023-03-01,Seattle-Tacoma International Airport,Airport Operations
Total Air Freight - IN,20431,2021,03,2021-03-01,2023-03-01,Seattle-Tacoma International Airport,Airport Operations
Total Air Freight - OUT,19698,2021,03,2021-03-01,2023-03-01,Seattle-Tacoma International Airport,Airport Operations
Air Freight Grand Total,40129,2021,03,2021-03-01,2023-03-01,Seattle-Tacoma International Airport,Airport Operations
Domestic Air Mail - IN,0,2021,03,2021-03-01,2023-03-01,Seattle-Tacoma International Airport,Airport Operations
Domestic Air Mail - OUT,0,2021,03,2021-03-01,2023-03-01,Seattle-Tacoma International Airport,Airport Operations
Subtotal - Domestic Air Mail,0,2021,03,2021-03-01,2023-03-01,Seattle-Tacoma International Airport,Airport Operations
International Air Mail - IN,0,2021,03,2021-03-01,2023-03-01,Seattle-Tacoma International Airport,Airport Operations
International Air Mail - OUT,0,2021,03,2021-03-01,2023-03-01,Seattle-Tacoma International Airport,Airport Operations
Subtotal - International Air Mail,0,2021,03,2021-03-01,2023-03-01,Seattle-Tacoma International Airport,Airport Operations
Total Air Mail - IN,0,2021,03,2021-03-01,2023-03-01,Seattle-Tacoma International Airport,Airport Operations
Total Air Mail - OUT,0,2021,03,2021-03-01,2023-03-01,Seattle-Tacoma International Airport,Airport Operations
Air Mail Grand Total,0,2021,03,2021-03-01,2023-03-01,Seattle-Tacoma International Airport,Airport Operations
Total Cargo - IN,20431,2021,03,2021-03-01,2023-03-01,Seattle-Tacoma International Airport,Airport Operations
Total Cargo - OUT,19698,2021,03,2021-03-01,2023-03-01,Seattle-Tacoma International Airport,Airport Operations
CARGO GRAND TOTAL,40129,2021,03,2021-03-01,2023-03-01,Seattle-Tacoma International Airport,Airport Operations
Air Carrier,28227,2021,03,2021-03-01,2023-03-01,Seattle-Tacoma International Airport,Airport Operations
Air Taxi,324,2021,03,2021-03-01,2023-03-01,Seattle-Tacoma International Airport,Airport Operations
General Aviation,78,2021,03,2021-03-01,2023-03-01,Seattle-Tacoma International Airport,Airport Operations
Military,5,2021,03,2021-03-01,2023-03-01,Seattle-Tacoma International Airport,Airport Operations
OPERATIONS GRAND TOTAL,28634,2021,03,2021-03-01,2023-03-01,Seattle-Tacoma International Airport,Airport Operations
Domestic Passengers - IN,1230189,2021,04,2021-04-01,2023-04-01,Seattle-Tacoma International Airport,Airport Operations
Domestic Passengers - OUT,1230626,2021,04,2021-04-01,2023-04-01,Seattle-Tacoma International Airport,Airport Operations
Subtotal - Domestic Passengers,2460815,2021,04,2021-04-01,2023-04-01,Seattle-Tacoma International Airport,Airport Operations
International Passengers - IN,47314,2021,04,2021-04-01,2023-04-01,Seattle-Tacoma International Airport,Airport Operations
International Passengers - OUT,46659,2021,04,2021-04-01,2023-04-01,Seattle-Tacoma International Airport,Airport Operations
Subtotal - International Passengers,93973,2021,04,2021-04-01,2023-04-01,Seattle-Tacoma International Airport,Airport Operations
Total Passengers - IN,1277503,2021,04,2021-04-01,2023-04-01,Seattle-Tacoma International Airport,Airport Operations
Total Passengers - OUT,1277285,2021,04,2021-04-01,2023-04-01,Seattle-Tacoma International Airport,Airport Operations
PASSENGER GRAND TOTAL,2554788,2021,04,2021-04-01,2023-04-01,Seattle-Tacoma International Airport,Airport Operations
Domestic Air Freight - IN,15970,2021,04,2021-04-01,2023-04-01,Seattle-Tacoma International Airport,Airport Operations
Domestic Air Freight - OUT,13192,2021,04,2021-04-01,2023-04-01,Seattle-Tacoma International Airport,Airport Operations
Subtotal - Domestic Air Freight,29162,2021,04,2021-04-01,2023-04-01,Seattle-Tacoma International Airport,Airport Operations
International Air Freight - IN,4771,2021,04,2021-04-01,2023-04-01,Seattle-Tacoma International Airport,Airport Operations
International Air Freight - OUT,5172,2021,04,2021-04-01,2023-04-01,Seattle-Tacoma International Airport,Airport Operations
Subtotal - International Air Freight,9943,2021,04,2021-04-01,2023-04-01,Seattle-Tacoma International Airport,Airport Operations
Total Air Freight - IN,20741,2021,04,2021-04-01,2023-04-01,Seattle-Tacoma International Airport,Airport Operations
Total Air Freight - OUT,18364,2021,04,2021-04-01,2023-04-01,Seattle-Tacoma International Airport,Airport Operations
Air Freight Grand Total,39105,2021,04,2021-04-01,2023-04-01,Seattle-Tacoma International Airport,Airport Operations
Domestic Air Mail - IN,0,2021,04,2021-04-01,2023-04-01,Seattle-Tacoma International Airport,Airport Operations
Domestic Air Mail - OUT,0,2021,04,2021-04-01,2023-04-01,Seattle-Tacoma International Airport,Airport Operations
Subtotal - Domestic Air Mail,0,2021,04,2021-04-01,2023-04-01,Seattle-Tacoma International Airport,Airport Operations
International Air Mail - IN,0,2021,04,2021-04-01,2023-04-01,Seattle-Tacoma International Airport,Airport Operations
International Air Mail - OUT,0,2021,04,2021-04-01,2023-04-01,Seattle-Tacoma International Airport,Airport Operations
Subtotal - International Air Mail,0,2021,04,2021-04-01,2023-04-01,Seattle-Tacoma International Airport,Airport Operations
Total Air Mail - IN,0,2021,04,2021-04-01,2023-04-01,Seattle-Tacoma International Airport,Airport Operations
Total Air Mail - OUT,0,2021,04,2021-04-01,2023-04-01,Seattle-Tacoma International Airport,Airport Operations
Air Mail Grand Total,0,2021,04,2021-04-01,2023-04-01,Seattle-Tacoma International Airport,Airport Operations
Total Cargo - IN,20741,2021,04,2021-04-01,2023-04-01,Seattle-Tacoma International Airport,Airport Operations
Total Cargo - OUT,18364,2021,04,2021-04-01,2023-04-01,Seattle-Tacoma International Airport,Airport Operations
CARGO GRAND TOTAL,39105,2021,04,2021-04-01,2023-04-01,Seattle-Tacoma International Airport,Airport Operations
Air Carrier,28835,2021,04,2021-04-01,2023-04-01,Seattle-Tacoma International Airport,Airport Operations
Air Taxi,333,2021,04,2021-04-01,2023-04-01,Seattle-Tacoma International Airport,Airport Operations
General Aviation,104,2021,04,2021-04-01,2023-04-01,Seattle-Tacoma International Airport,Airport Operations
Military,10,2021,04,2021-04-01,2023-04-01,Seattle-Tacoma International Airport,Airport Operations
OPERATIONS GRAND TOTAL,29282,2021,04,2021-04-01,2023-04-01,Seattle-Tacoma International Airport,Airport Operations
Domestic Passengers - IN,1496804,2021,05,2021-05-01,2023-05-01,Seattle-Tacoma International Airport,Airport Operations
Domestic Passengers - OUT,1468408,2021,05,2021-05-01,2023-05-01,Seattle-Tacoma International Airport,Airport Operations
Subtotal - Domestic Passengers,2965212,2021,05,2021-05-01,2023-05-01,Seattle-Tacoma International Airport,Airport Operations
International Passengers - IN,52673,2021,05,2021-05-01,2023-05-01,Seattle-Tacoma International Airport,Airport Operations
International Passengers - OUT,49935,2021,05,2021-05-01,2023-05-01,Seattle-Tacoma International Airport,Airport Operations
Subtotal - International Passengers,102608,2021,05,2021-05-01,2023-05-01,Seattle-Tacoma International Airport,Airport Operations
Total Passengers - IN,1549477,2021,05,2021-05-01,2023-05-01,Seattle-Tacoma International Airport,Airport Operations
Total Passengers - OUT,1518343,2021,05,2021-05-01,2023-05-01,Seattle-Tacoma International Airport,Airport Operations
PASSENGER GRAND TOTAL,3067820,2021,05,2021-05-01,2023-05-01,Seattle-Tacoma International Airport,Airport Operations
Domestic Air Freight - IN,16278,2021,05,2021-05-01,2023-05-01,Seattle-Tacoma International Airport,Airport Operations
Domestic Air Freight - OUT,13549,2021,05,2021-05-01,2023-05-01,Seattle-Tacoma International Airport,Airport Operations
Subtotal - Domestic Air Freight,29827,2021,05,2021-05-01,2023-05-01,Seattle-Tacoma International Airport,Airport Operations
International Air Freight - IN,5186,2021,05,2021-05-01,2023-05-01,Seattle-Tacoma International Airport,Airport Operations
International Air Freight - OUT,4929,2021,05,2021-05-01,2023-05-01,Seattle-Tacoma International Airport,Airport Operations
Subtotal - International Air Freight,10115,2021,05,2021-05-01,2023-05-01,Seattle-Tacoma International Airport,Airport Operations
Total Air Freight - IN,21464,2021,05,2021-05-01,2023-05-01,Seattle-Tacoma International Airport,Airport Operations
Total Air Freight - OUT,18478,2021,05,2021-05-01,2023-05-01,Seattle-Tacoma International Airport,Airport Operations
Air Freight Grand Total,39942,2021,05,2021-05-01,2023-05-01,Seattle-Tacoma International Airport,Airport Operations
Domestic Air Mail - IN,0,2021,05,2021-05-01,2023-05-01,Seattle-Tacoma International Airport,Airport Operations
Domestic Air Mail - OUT,0,2021,05,2021-05-01,2023-05-01,Seattle-Tacoma International Airport,Airport Operations
Subtotal - Domestic Air Mail,0,2021,05,2021-05-01,2023-05-01,Seattle-Tacoma International Airport,Airport Operations
International Air Mail - IN,0,2021,05,2021-05-01,2023-05-01,Seattle-Tacoma International Airport,Airport Operations
International Air Mail - OUT,0,2021,05,2021-05-01,2023-05-01,Seattle-Tacoma International Airport,Airport Operations
Subtotal - International Air Mail,0,2021,05,2021-05-01,2023-05-01,Seattle-Tacoma International Airport,Airport Operations
Total Air Mail - IN,0,2021,05,2021-05-01,2023-05-01,Seattle-Tacoma International Airport,Airport Operations
Total Air Mail - OUT,0,2021,05,2021-05-01,2023-05-01,Seattle-Tacoma International Airport,Airport Operations
Air Mail Grand Total,0,2021,05,2021-05-01,2023-05-01,Seattle-Tacoma International Airport,Airport Operations
Total Cargo - IN,21464,2021,05,2021-05-01,2023-05-01,Seattle-Tacoma International Airport,Airport Operations
Total Cargo - OUT,18478,2021,05,2021-05-01,2023-05-01,Seattle-Tacoma International Airport,Airport Operations
CARGO GRAND TOTAL,39942,2021,05,2021-05-01,2023-05-01,Seattle-Tacoma International Airport,Airport Operations
Air Carrier,31516,2021,05,2021-05-01,2023-05-01,Seattle-Tacoma International Airport,Airport Operations
Air Taxi,333,2021,05,2021-05-01,2023-05-01,Seattle-Tacoma International Airport,Airport Operations
General Aviation,108,2021,05,2021-05-01,2023-05-01,Seattle-Tacoma International Airport,Airport Operations
Military,2,2021,05,2021-05-01,2023-05-01,Seattle-Tacoma International Airport,Airport Operations
OPERATIONS GRAND TOTAL,31959,2021,05,2021-05-01,2023-05-01,Seattle-Tacoma International Airport,Airport Operations
Domestic Passengers - IN,1846022,2021,06,2021-06-01,2023-06-01,Seattle-Tacoma International Airport,Airport Operations
Domestic Passengers - OUT,1835661,2021,06,2021-06-01,2023-06-01,Seattle-Tacoma International Airport,Airport Operations
Subtotal - Domestic Passengers,3681683,2021,06,2021-06-01,2023-06-01,Seattle-Tacoma International Airport,Airport Operations
International Passengers - IN,62143,2021,06,2021-06-01,2023-06-01,Seattle-Tacoma International Airport,Airport Operations
International Passengers - OUT,63515,2021,06,2021-06-01,2023-06-01,Seattle-Tacoma International Airport,Airport Operations
Subtotal - International Passengers,125658,2021,06,2021-06-01,2023-06-01,Seattle-Tacoma International Airport,Airport Operations
Total Passengers - IN,1908165,2021,06,2021-06-01,2023-06-01,Seattle-Tacoma International Airport,Airport Operations
Total Passengers - OUT,1899176,2021,06,2021-06-01,2023-06-01,Seattle-Tacoma International Airport,Airport Operations
PASSENGER GRAND TOTAL,3807341,2021,06,2021-06-01,2023-06-01,Seattle-Tacoma International Airport,Airport Operations
Domestic Air Freight - IN,16961,2021,06,2021-06-01,2023-06-01,Seattle-Tacoma International Airport,Airport Operations
Domestic Air Freight - OUT,13996,2021,06,2021-06-01,2023-06-01,Seattle-Tacoma International Airport,Airport Operations
Subtotal - Domestic Air Freight,30957,2021,06,2021-06-01,2023-06-01,Seattle-Tacoma International Airport,Airport Operations
International Air Freight - IN,5890,2021,06,2021-06-01,2023-06-01,Seattle-Tacoma International Airport,Airport Operations
International Air Freight - OUT,9566,2021,06,2021-06-01,2023-06-01,Seattle-Tacoma International Airport,Airport Operations
Subtotal - International Air Freight,15456,2021,06,2021-06-01,2023-06-01,Seattle-Tacoma International Airport,Airport Operations
Total Air Freight - IN,22852,2021,06,2021-06-01,2023-06-01,Seattle-Tacoma International Airport,Airport Operations
Total Air Freight - OUT,23563,2021,06,2021-06-01,2023-06-01,Seattle-Tacoma International Airport,Airport Operations
Air Freight Grand Total,46415,2021,06,2021-06-01,2023-06-01,Seattle-Tacoma International Airport,Airport Operations
Domestic Air Mail - IN,0,2021,06,2021-06-01,2023-06-01,Seattle-Tacoma International Airport,Airport Operations
Domestic Air Mail - OUT,0,2021,06,2021-06-01,2023-06-01,Seattle-Tacoma International Airport,Airport Operations
Subtotal - Domestic Air Mail,0,2021,06,2021-06-01,2023-06-01,Seattle-Tacoma International Airport,Airport Operations
International Air Mail - IN,0,2021,06,2021-06-01,2023-06-01,Seattle-Tacoma International Airport,Airport Operations
International Air Mail - OUT,0,2021,06,2021-06-01,2023-06-01,Seattle-Tacoma International Airport,Airport Operations
Subtotal - International Air Mail,0,2021,06,2021-06-01,2023-06-01,Seattle-Tacoma International Airport,Airport Operations
Total Air Mail - IN,0,2021,06,2021-06-01,2023-06-01,Seattle-Tacoma International Airport,Airport Operations
Total Air Mail - OUT,0,2021,06,2021-06-01,2023-06-01,Seattle-Tacoma International Airport,Airport Operations
Air Mail Grand Total,0,2021,06,2021-06-01,2023-06-01,Seattle-Tacoma International Airport,Airport Operations
Total Cargo - IN,22852,2021,06,2021-06-01,2023-06-01,Seattle-Tacoma International Airport,Airport Operations
Total Cargo - OUT,23563,2021,06,2021-06-01,2023-06-01,Seattle-Tacoma International Airport,Airport Operations
CARGO GRAND TOTAL,46415,2021,06,2021-06-01,2023-06-01,Seattle-Tacoma International Airport,Airport Operations
Air Carrier,34183,2021,06,2021-06-01,2023-06-01,Seattle-Tacoma International Airport,Airport Operations
Air Taxi,414,2021,06,2021-06-01,2023-06-01,Seattle-Tacoma International Airport,Airport Operations
General Aviation,149,2021,06,2021-06-01,2023-06-01,Seattle-Tacoma International Airport,Airport Operations
Military,8,2021,06,2021-06-01,2023-06-01,Seattle-Tacoma International Airport,Airport Operations
OPERATIONS GRAND TOTAL,34754,2021,06,2021-06-01,2023-06-01,Seattle-Tacoma International Airport,Airport Operations
Domestic Passengers - IN,2064270,2021,07,2021-07-01,2023-07-01,Seattle-Tacoma International Airport,Airport Operations
Domestic Passengers - OUT,2050950,2021,07,2021-07-01,2023-07-01,Seattle-Tacoma International Airport,Airport Operations
Subtotal - Domestic Passengers,4115220,2021,07,2021-07-01,2023-07-01,Seattle-Tacoma International Airport,Airport Operations
International Passengers - IN,82555,2021,07,2021-07-01,2023-07-01,Seattle-Tacoma International Airport,Airport Operations
International Passengers - OUT,83948,2021,07,2021-07-01,2023-07-01,Seattle-Tacoma International Airport,Airport Operations
Subtotal - International Passengers,166503,2021,07,2021-07-01,2023-07-01,Seattle-Tacoma International Airport,Airport Operations
Total Passengers - IN,2146825,2021,07,2021-07-01,2023-07-01,Seattle-Tacoma International Airport,Airport Operations
Total Passengers - OUT,2134898,2021,07,2021-07-01,2023-07-01,Seattle-Tacoma International Airport,Airport Operations
PASSENGER GRAND TOTAL,4281723,2021,07,2021-07-01,2023-07-01,Seattle-Tacoma International Airport,Airport Operations
Domestic Air Freight - IN,16058,2021,07,2021-07-01,2023-07-01,Seattle-Tacoma International Airport,Airport Operations
Domestic Air Freight - OUT,14382,2021,07,2021-07-01,2023-07-01,Seattle-Tacoma International Airport,Airport Operations
Subtotal - Domestic Air Freight,30440,2021,07,2021-07-01,2023-07-01,Seattle-Tacoma International Airport,Airport Operations
International Air Freight - IN,5137,2021,07,2021-07-01,2023-07-01,Seattle-Tacoma International Airport,Airport Operations
International Air Freight - OUT,11402,2021,07,2021-07-01,2023-07-01,Seattle-Tacoma International Airport,Airport Operations
Subtotal - International Air Freight,16539,2021,07,2021-07-01,2023-07-01,Seattle-Tacoma International Airport,Airport Operations
Total Air Freight - IN,21196,2021,07,2021-07-01,2023-07-01,Seattle-Tacoma International Airport,Airport Operations
Total Air Freight - OUT,25784,2021,07,2021-07-01,2023-07-01,Seattle-Tacoma International Airport,Airport Operations
Air Freight Grand Total,46980,2021,07,2021-07-01,2023-07-01,Seattle-Tacoma International Airport,Airport Operations
Domestic Air Mail - IN,0,2021,07,2021-07-01,2023-07-01,Seattle-Tacoma International Airport,Airport Operations
Domestic Air Mail - OUT,0,2021,07,2021-07-01,2023-07-01,Seattle-Tacoma International Airport,Airport Operations
Subtotal - Domestic Air Mail,0,2021,07,2021-07-01,2023-07-01,Seattle-Tacoma International Airport,Airport Operations
International Air Mail - IN,0,2021,07,2021-07-01,2023-07-01,Seattle-Tacoma International Airport,Airport Operations
International Air Mail - OUT,0,2021,07,2021-07-01,2023-07-01,Seattle-Tacoma International Airport,Airport Operations
Subtotal - International Air Mail,0,2021,07,2021-07-01,2023-07-01,Seattle-Tacoma International Airport,Airport Operations
Total Air Mail - IN,0,2021,07,2021-07-01,2023-07-01,Seattle-Tacoma International Airport,Airport Operations
Total Air Mail - OUT,0,2021,07,2021-07-01,2023-07-01,Seattle-Tacoma International Airport,Airport Operations
Air Mail Grand Total,0,2021,07,2021-07-01,2023-07-01,Seattle-Tacoma International Airport,Airport Operations
Total Cargo - IN,21196,2021,07,2021-07-01,2023-07-01,Seattle-Tacoma International Airport,Airport Operations
Total Cargo - OUT,25784,2021,07,2021-07-01,2023-07-01,Seattle-Tacoma International Airport,Airport Operations
CARGO GRAND TOTAL,46980,2021,07,2021-07-01,2023-07-01,Seattle-Tacoma International Airport,Airport Operations
Air Carrier,36247,2021,07,2021-07-01,2023-07-01,Seattle-Tacoma International Airport,Airport Operations
Air Taxi,449,2021,07,2021-07-01,2023-07-01,Seattle-Tacoma International Airport,Airport Operations
General Aviation,154,2021,07,2021-07-01,2023-07-01,Seattle-Tacoma International Airport,Airport Operations
Military,2,2021,07,2021-07-01,2023-07-01,Seattle-Tacoma International Airport,Airport Operations
OPERATIONS GRAND TOTAL,36852,2021,07,2021-07-01,2023-07-01,Seattle-Tacoma International Airport,Airport Operations
Domestic Passengers - IN,1959881,2021,08,2021-08-01,2023-08-01,Seattle-Tacoma International Airport,Airport Operations
Domestic Passengers - OUT,1971319,2021,08,2021-08-01,2023-08-01,Seattle-Tacoma International Airport,Airport Operations
Subtotal - Domestic Passengers,3931200,2021,08,2021-08-01,2023-08-01,Seattle-Tacoma International Airport,Airport Operations
International Passengers - IN,99897,2021,08,2021-08-01,2023-08-01,Seattle-Tacoma International Airport,Airport Operations
International Passengers - OUT,87225,2021,08,2021-08-01,2023-08-01,Seattle-Tacoma International Airport,Airport Operations
Subtotal - International Passengers,187122,2021,08,2021-08-01,2023-08-01,Seattle-Tacoma International Airport,Airport Operations
Total Passengers - IN,2059778,2021,08,2021-08-01,2023-08-01,Seattle-Tacoma International Airport,Airport Operations
Total Passengers - OUT,2058544,2021,08,2021-08-01,2023-08-01,Seattle-Tacoma International Airport,Airport Operations
PASSENGER GRAND TOTAL,4118322,2021,08,2021-08-01,2023-08-01,Seattle-Tacoma International Airport,Airport Operations
Domestic Air Freight - IN,17297,2021,08,2021-08-01,2023-08-01,Seattle-Tacoma International Airport,Airport Operations
Domestic Air Freight - OUT,14841,2021,08,2021-08-01,2023-08-01,Seattle-Tacoma International Airport,Airport Operations
Subtotal - Domestic Air Freight,32138,2021,08,2021-08-01,2023-08-01,Seattle-Tacoma International Airport,Airport Operations
International Air Freight - IN,5002,2021,08,2021-08-01,2023-08-01,Seattle-Tacoma International Airport,Airport Operations
International Air Freight - OUT,5764,2021,08,2021-08-01,2023-08-01,Seattle-Tacoma International Airport,Airport Operations
Subtotal - International Air Freight,10766,2021,08,2021-08-01,2023-08-01,Seattle-Tacoma International Airport,Airport Operations
Total Air Freight - IN,22299,2021,08,2021-08-01,2023-08-01,Seattle-Tacoma International Airport,Airport Operations
Total Air Freight - OUT,20605,2021,08,2021-08-01,2023-08-01,Seattle-Tacoma International Airport,Airport Operations
Air Freight Grand Total,42904,2021,08,2021-08-01,2023-08-01,Seattle-Tacoma International Airport,Airport Operations
Domestic Air Mail - IN,0,2021,08,2021-08-01,2023-08-01,Seattle-Tacoma International Airport,Airport Operations
Domestic Air Mail - OUT,0,2021,08,2021-08-01,2023-08-01,Seattle-Tacoma International Airport,Airport Operations
Subtotal - Domestic Air Mail,0,2021,08,2021-08-01,2023-08-01,Seattle-Tacoma International Airport,Airport Operations
International Air Mail - IN,0,2021,08,2021-08-01,2023-08-01,Seattle-Tacoma International Airport,Airport Operations
International Air Mail - OUT,0,2021,08,2021-08-01,2023-08-01,Seattle-Tacoma International Airport,Airport Operations
Subtotal - International Air Mail,0,2021,08,2021-08-01,2023-08-01,Seattle-Tacoma International Airport,Airport Operations
Total Air Mail - IN,0,2021,08,2021-08-01,2023-08-01,Seattle-Tacoma International Airport,Airport Operations
Total Air Mail - OUT,0,2021,08,2021-08-01,2023-08-01,Seattle-Tacoma International Airport,Airport Operations
Air Mail Grand Total,0,2021,08,2021-08-01,2023-08-01,Seattle-Tacoma International Airport,Airport Operations
Total Cargo - IN,22299,2021,08,2021-08-01,2023-08-01,Seattle-Tacoma International Airport,Airport Operations
Total Cargo - OUT,20605,2021,08,2021-08-01,2023-08-01,Seattle-Tacoma International Airport,Airport Operations
CARGO GRAND TOTAL,42904,2021,08,2021-08-01,2023-08-01,Seattle-Tacoma International Airport,Airport Operations
Air Carrier,36509,2021,08,2021-08-01,2023-08-01,Seattle-Tacoma International Airport,Airport Operations
Air Taxi,425,2021,08,2021-08-01,2023-08-01,Seattle-Tacoma International Airport,Airport Operations
General Aviation,159,2021,08,2021-08-01,2023-08-01,Seattle-Tacoma International Airport,Airport Operations
Military,7,2021,08,2021-08-01,2023-08-01,Seattle-Tacoma International Airport,Airport Operations
OPERATIONS GRAND TOTAL,37100,2021,08,2021-08-01,2023-08-01,Seattle-Tacoma International Airport,Airport Operations
Domestic Passengers - IN,1620162,2021,09,2021-09-01,2023-09-01,Seattle-Tacoma International Airport,Airport Operations
Domestic Passengers - OUT,1626780,2021,09,2021-09-01,2023-09-01,Seattle-Tacoma International Airport,Airport Operations
Subtotal - Domestic Passengers,3246942,2021,09,2021-09-01,2023-09-01,Seattle-Tacoma International Airport,Airport Operations
International Passengers - IN,86131,2021,09,2021-09-01,2023-09-01,Seattle-Tacoma International Airport,Airport Operations
International Passengers - OUT,77761,2021,09,2021-09-01,2023-09-01,Seattle-Tacoma International Airport,Airport Operations
Subtotal - International Passengers,163892,2021,09,2021-09-01,2023-09-01,Seattle-Tacoma International Airport,Airport Operations
Total Passengers - IN,1706293,2021,09,2021-09-01,2023-09-01,Seattle-Tacoma International Airport,Airport Operations
Total Passengers - OUT,1704541,2021,09,2021-09-01,2023-09-01,Seattle-Tacoma International Airport,Airport Operations
PASSENGER GRAND TOTAL,3410834,2021,09,2021-09-01,2023-09-01,Seattle-Tacoma International Airport,Airport Operations
Domestic Air Freight - IN,17291,2021,09,2021-09-01,2023-09-01,Seattle-Tacoma International Airport,Airport Operations
Domestic Air Freight - OUT,14497,2021,09,2021-09-01,2023-09-01,Seattle-Tacoma International Airport,Airport Operations
Subtotal - Domestic Air Freight,31788,2021,09,2021-09-01,2023-09-01,Seattle-Tacoma International Airport,Airport Operations
International Air Freight - IN,5445,2021,09,2021-09-01,2023-09-01,Seattle-Tacoma International Airport,Airport Operations
International Air Freight - OUT,4621,2021,09,2021-09-01,2023-09-01,Seattle-Tacoma International Airport,Airport Operations
Subtotal - International Air Freight,10066,2021,09,2021-09-01,2023-09-01,Seattle-Tacoma International Airport,Airport Operations
Total Air Freight - IN,22736,2021,09,2021-09-01,2023-09-01,Seattle-Tacoma International Airport,Airport Operations
Total Air Freight - OUT,19118,2021,09,2021-09-01,2023-09-01,Seattle-Tacoma International Airport,Airport Operations
Air Freight Grand Total,41854,2021,09,2021-09-01,2023-09-01,Seattle-Tacoma International Airport,Airport Operations
Domestic Air Mail - IN,0,2021,09,2021-09-01,2023-09-01,Seattle-Tacoma International Airport,Airport Operations
Domestic Air Mail - OUT,0,2021,09,2021-09-01,2023-09-01,Seattle-Tacoma International Airport,Airport Operations
Subtotal - Domestic Air Mail,0,2021,09,2021-09-01,2023-09-01,Seattle-Tacoma International Airport,Airport Operations
International Air Mail - IN,0,2021,09,2021-09-01,2023-09-01,Seattle-Tacoma International Airport,Airport Operations
